timestamp,command,left_speed,right_speed,Location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,BumpLeft,BumpRight
44.17,Right,5,-5,Door_Passed,0,4,1,2,8,9,100,FALSE,FALSE
44.44,Left,-5,5,Door_Passed,0,3,0,5,8,57,103,FALSE,FALSE
44.71,Left,-5,5,Door_Passed,1,0,4,0,19,56,144,FALSE,FALSE
44.98,Left,-5,5,Door_Passed,0,2,1,0,14,60,131,FALSE,FALSE
45.25,Forward,10,10,Door_Passed,0,3,2,4,8,53,101,FALSE,FALSE
45.61,Forward,10,10,Door_Passed,1,2,4,4,9,2,104,FALSE,FALSE
45.88,Forward,10,10,Door_Passed,2,0,2,3,7,0,156,FALSE,FALSE
46.15,Forward,10,10,Door_Passed,0,0,3,0,7,0,282,FALSE,FALSE
46.46,Forward,10,10,Door_Passed,0,3,2,4,7,3,523,FALSE,FALSE
46.78,Forward,10,10,Door_Passed,0,3,2,0,8,1,765,FALSE,FALSE
47.05,Forward,10,10,Door_Passed,3,1,4,0,7,0,328,FALSE,FALSE
47.32,Forward,10,10,Door_Passed,0,4,3,3,6,0,116,FALSE,FALSE
47.59,Forward,10,10,Door_Passed,0,5,1,6,3,2,91,FALSE,FALSE
47.86,Forward,10,10,Door_Passed,0,5,1,3,7,1,77,FALSE,FALSE
48.13,Forward,10,10,Door_Passed,2,4,3,4,8,1,66,FALSE,FALSE
48.4,Forward,10,10,Door_Passed,0,3,0,4,2,2,52,FALSE,FALSE
48.67,Forward,10,10,Door_Passed,0,4,3,3,5,1,44,FALSE,FALSE
48.94,Forward,10,10,Wall,2,0,4,0,7,0,44,FALSE,FALSE
49.21,Forward,10,10,Wall,2,3,2,2,7,0,36,FALSE,FALSE
49.48,Forward,10,10,Wall,1,2,3,0,8,0,33,FALSE,FALSE
49.75,Forward,10,10,Wall,2,4,4,3,10,2,31,FALSE,FALSE
50.02,Forward,10,10,Wall,2,1,2,0,9,0,24,FALSE,FALSE
50.29,Forward,10,10,Wall,0,5,0,4,3,0,16,FALSE,FALSE
50.6,Forward,10,10,Wall,0,4,1,2,6,0,15,FALSE,FALSE
